date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:12	66865/66865	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Mar%202026%2019:24:38%20GMT	https://salonsafari.com/cdn/shop/t/1/assets/base.css?v=144968985024194912401720632165	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/base6386.css	(from https://salonsafari.com/)
20:01:12	4975/4975	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202026%2008:18:19%20GMT	https://salonsafari.com/cdn/shop/t/1/assets/component-predictive-search.css?v=118923337488134913561720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/component-predictive-search0530.css	(from https://salonsafari.com/)
20:01:13	68164/68164	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Apr%202026%2014:31:12%20GMT	https://salonsafari.com/POST	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/POST	(from https://salonsafari.com/)
20:01:14	18306/18306	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2013%20Apr%202026%2014:31:13%20GMT	https://salonsafari.com/cdn	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn	(from https://salonsafari.com/)
20:01:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:13%20GMT	http://salonsafari.com/cdn/s/trekkie.storefront.8aba195e1f0d50eb4ee5422e0104eb204e686edd.min.js	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/s/trekkie.storefront.8aba195e1f0d50eb4ee5422e0104eb204e686edd.min.js	(from https://salonsafari.com/)
20:01:14	116212/116212	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2010%20Apr%202026%2017:18:09%20GMT	https://salonsafari.com/cdn/s/trekkie.storefront.8aba195e1f0d50eb4ee5422e0104eb204e686edd.min.js	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/s/trekkie.storefront.8aba195e1f0d50eb4ee5422e0104eb204e686edd.min.js	(from https://salonsafari.com/)
20:01:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:14%20GMT	http://salonsafari.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	(from https://salonsafari.com/)
20:01:16	13852/13852	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2017%20Mar%202026%2023:23:48%20GMT	https://salonsafari.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shopifycloud/storefront/assets/shop_events_listener-3da45d37.js	(from https://salonsafari.com/)
20:01:16	64906/64906	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2006%20Apr%202026%2006:31:45%20GMT	https://salonsafari.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-3.3.1.min.js	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-3.3.1.min.js	(from https://salonsafari.com/)
20:01:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:16%20GMT	http://salonsafari.com/cdn/shop/t/1/assets/component-slideshow.css?v=170654395204511176521720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/component-slideshow3bba.css	(from https://salonsafari.com/)
20:01:17	3665/3665	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Apr%202026%2017:17:03%20GMT	https://salonsafari.com/cdn/shop/t/1/assets/component-slideshow.css?v=170654395204511176521720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/component-slideshow3bba.css	(from https://salonsafari.com/)
